Tue Jun  2 21:06:46 2026

LITENGINE, A BITEBYBYTE SOFTWARE DIVISION PRODUCT
21:06:46 severity: undefined ,vulkan infovalidation layer: type { General } msg: --- WELCOME TO LITENGINE ---

21:06:46 severity: undefined ,vulkan infovalidation layer: type { General } msg: Inserted device layer "VK_LAYER_KHRONOS_validation" (C:\VulkanSDK\1.4.341.1\Bin\VkLayer_khronos_validation.dll)

21:06:46 severity: undefined ,vulkan infovalidation layer: type { General } msg: Inserted device layer "VK_LAYER_OBS_HOOK" (C:\ProgramData\obs-studio-hook\graphics-hook64.dll)

21:06:46 severity: undefined ,vulkan infovalidation layer: type { General } msg: vkCreateDevice layer callstack setup to:

21:06:46 severity: undefined ,vulkan infovalidation layer: type { General } msg:    <Application>

21:06:46 severity: undefined ,vulkan infovalidation layer: type { General } msg:      ||

21:06:46 severity: undefined ,vulkan infovalidation layer: type { General } msg:    <Loader>

21:06:46 severity: undefined ,vulkan infovalidation layer: type { General } msg:      ||

21:06:46 severity: undefined ,vulkan infovalidation layer: type { General } msg:    VK_LAYER_OBS_HOOK

21:06:46 severity: undefined ,vulkan infovalidation layer: type { General } msg:            Type: Implicit

21:06:46 severity: undefined ,vulkan infovalidation layer: type { General } msg:            Enabled By: Implicit Layer

21:06:46 severity: undefined ,vulkan infovalidation layer: type { General } msg:                Disable Env Var:  DISABLE_VULKAN_OBS_CAPTURE

21:06:46 severity: undefined ,vulkan infovalidation layer: type { General } msg:            Manifest: C:\ProgramData\obs-studio-hook\obs-vulkan64.json

21:06:46 severity: undefined ,vulkan infovalidation layer: type { General } msg:            Library:  C:\ProgramData\obs-studio-hook\graphics-hook64.dll

21:06:46 severity: undefined ,vulkan infovalidation layer: type { General } msg:      ||

21:06:46 severity: undefined ,vulkan infovalidation layer: type { General } msg:    VK_LAYER_KHRONOS_validation

21:06:46 severity: undefined ,vulkan infovalidation layer: type { General } msg:            Type: Explicit

21:06:46 severity: undefined ,vulkan infovalidation layer: type { General } msg:            Enabled By: By the Application

21:06:46 severity: undefined ,vulkan infovalidation layer: type { General } msg:            Manifest: C:\VulkanSDK\1.4.341.1\Bin\VkLayer_khronos_validation.json

21:06:46 severity: undefined ,vulkan infovalidation layer: type { General } msg:            Library:  C:\VulkanSDK\1.4.341.1\Bin\VkLayer_khronos_validation.dll

21:06:46 severity: undefined ,vulkan infovalidation layer: type { General } msg:      ||

21:06:46 severity: undefined ,vulkan infovalidation layer: type { General } msg:    <Device>

21:06:46 severity: undefined ,vulkan infovalidation layer: type { General } msg:        Using "Intel(R) UHD Graphics" with driver: "C:\windows\System32\DriverStore\FileRepository\iigd_dch.inf_amd64_ee473bb1b3cf1637\igvk64.dll"

21:06:46 fatal error ,Invalid presentation type specifier

