
LITENGINE, A BITEBYBYTE SOFTWARE DIVISION PRODUCT
14:06:47.239 info: engine, begin launch bootstrap process
14:06:49.951 info: engine, user entered selection
14:06:49.951 info: engine, launch bootstrap process completed with response : continue
14:06:49.951 info: engine, program to continue execution
14:06:49.951 info: debug, generic, loaded new path from preferences logs/
14:06:49.951 success: debug, generic, successfully written to new address :  logs/log at Jul 26 14-04-44 2026.txt
14:06:49.952 success: debug, generic, temporary file deleted successfullyThe operation completed successfully.
14:06:50.195 info: vulkan, validation layer: type { General } msg: --- WELCOME TO LITENGINE ---
14:06:50.204 info: vulkan, validation layer: type { General } msg: Inserted device layer "VK_LAYER_KHRONOS_validation" (C:\VulkanSDK\1.4.341.1\Bin\VkLayer_khronos_validation.dll)
14:06:50.204 info: vulkan, validation layer: type { General } msg: Inserted device layer "VK_LAYER_OBS_HOOK" (C:\ProgramData\obs-studio-hook\graphics-hook64.dll)
14:06:50.204 info: vulkan, validation layer: type { General } msg: Inserted device layer "VK_LAYER_NV_present" (C:\Windows\System32\DriverStore\FileRepository\nv_dispwi.inf_amd64_36bb8311c64d75ec\nvoglv64.dll)
14:06:50.204 info: vulkan, validation layer: type { General } msg: Inserted device layer "VK_LAYER_NV_optimus" (C:\Windows\System32\DriverStore\FileRepository\nv_dispwi.inf_amd64_36bb8311c64d75ec\nvoglv64.dll)
14:06:50.204 info: vulkan, validation layer: type { General } msg: vkCreateDevice layer callstack setup to:
14:06:50.204 info: vulkan, validation layer: type { General } msg:    <Application>
14:06:50.204 info: vulkan, validation layer: type { General } msg:      ||
14:06:50.204 info: vulkan, validation layer: type { General } msg:    <Loader>
14:06:50.204 info: vulkan, validation layer: type { General } msg:      ||
14:06:50.204 info: vulkan, validation layer: type { General } msg:    VK_LAYER_NV_optimus
14:06:50.204 info: vulkan, validation layer: type { General } msg:            Type: Implicit
14:06:50.204 info: vulkan, validation layer: type { General } msg:            Enabled By: Implicit Layer
14:06:50.204 info: vulkan, validation layer: type { General } msg:                Disable Env Var:  DISABLE_LAYER_NV_OPTIMUS_1
14:06:50.204 info: vulkan, validation layer: type { General } msg:            Manifest: C:\Windows\System32\DriverStore\FileRepository\nv_dispwi.inf_amd64_36bb8311c64d75ec\nv-vk64.json
14:06:50.204 info: vulkan, validation layer: type { General } msg:            Library:  C:\Windows\System32\DriverStore\FileRepository\nv_dispwi.inf_amd64_36bb8311c64d75ec\nvoglv64.dll
14:06:50.204 info: vulkan, validation layer: type { General } msg:      ||
14:06:50.204 info: vulkan, validation layer: type { General } msg:    VK_LAYER_NV_present
14:06:50.204 info: vulkan, validation layer: type { General } msg:            Type: Implicit
14:06:50.204 info: vulkan, validation layer: type { General } msg:            Enabled By: Implicit Layer
14:06:50.204 info: vulkan, validation layer: type { General } msg:                Disable Env Var:  DISABLE_LAYER_NV_GR2608_1
14:06:50.204 info: vulkan, validation layer: type { General } msg:            Manifest: C:\Windows\System32\DriverStore\FileRepository\nv_dispwi.inf_amd64_36bb8311c64d75ec\nv-vk64.json
14:06:50.204 info: vulkan, validation layer: type { General } msg:            Library:  C:\Windows\System32\DriverStore\FileRepository\nv_dispwi.inf_amd64_36bb8311c64d75ec\nvoglv64.dll
14:06:50.204 info: vulkan, validation layer: type { General } msg:      ||
14:06:50.204 info: vulkan, validation layer: type { General } msg:    VK_LAYER_OBS_HOOK
14:06:50.204 info: vulkan, validation layer: type { General } msg:            Type: Implicit
14:06:50.204 info: vulkan, validation layer: type { General } msg:            Enabled By: Implicit Layer
14:06:50.204 info: vulkan, validation layer: type { General } msg:                Disable Env Var:  DISABLE_VULKAN_OBS_CAPTURE
14:06:50.204 info: vulkan, validation layer: type { General } msg:            Manifest: C:\ProgramData\obs-studio-hook\obs-vulkan64.json
14:06:50.204 info: vulkan, validation layer: type { General } msg:            Library:  C:\ProgramData\obs-studio-hook\graphics-hook64.dll
14:06:50.204 info: vulkan, validation layer: type { General } msg:      ||
14:06:50.204 info: vulkan, validation layer: type { General } msg:    VK_LAYER_KHRONOS_validation
14:06:50.204 info: vulkan, validation layer: type { General } msg:            Type: Explicit
14:06:50.204 info: vulkan, validation layer: type { General } msg:            Enabled By: By the Application
14:06:50.204 info: vulkan, validation layer: type { General } msg:            Manifest: C:\VulkanSDK\1.4.341.1\Bin\VkLayer_khronos_validation.json
14:06:50.204 info: vulkan, validation layer: type { General } msg:            Library:  C:\VulkanSDK\1.4.341.1\Bin\VkLayer_khronos_validation.dll
14:06:50.204 info: vulkan, validation layer: type { General } msg:      ||
14:06:50.204 info: vulkan, validation layer: type { General } msg:    <Device>
14:06:50.205 info: vulkan, validation layer: type { General } msg:        Using "Quadro P4000" with driver: "C:\Windows\System32\DriverStore\FileRepository\nv_dispwi.inf_amd64_36bb8311c64d75ec\nvoglv64.dll"
14:06:50.434 event: engine, Spinning up User Interface...
14:06:50.445 event: engine, Init image viewport
14:06:50.471 event: engine, Init editor viewport
14:06:50.476 info: engine, Making swap image0
14:06:50.477 info: engine, Making swap image1
14:06:50.479 info: engine, create desc set layoud
14:06:50.479 info: engine, create pipeline
14:06:50.479 info: engine, create skinned pipeline
14:06:50.481 info: engine, create synchronization
14:06:50.481 info: engine, create command buffer
14:06:50.481 info: engine, load files
